Count	Course_code(2019_All_Term)	Enrol_precentage	Enrol_number Lec/Web/Prj/Thesis	Course_name	
138	ARTS1570  	0%	0/63	314/440	Introductory Spanish A	
139	MATH1151  	0%	0/60	314/430	Maths - Actuarial & Finance 1A	
140	ARTS1810  	0%	0/43	307/390	Foundations of Pols and IR	
141	CRIM2042  	0%	0/20	307/350	Explaining Crime	
142	MDIA3003  	0%	0/21	304/325	Professional Portfolio	
143	ECON3107  	0%	0/72	303/400	Economics of Finance	
144	PHAR2011  	0%	0/8	302/325	Introductory Pharmacology and	
145	ARTS3092  	0%	0/3	297/300	Media in Asia-Pacific	
146	ELEC3117  	0%	0/69	297/393	Electrical Engineering Design	
147	EDST1101  	0%	0/14	296/310	Educational Psychology	
148	LAWS2150  	0%	0/45	295/346	Federal Constitutional Law	
149	GENS1111  	0%	0/1	294/295	Big Fat Myths	
150	SCIF1004  	0%	0/309	293/600	Science and the Cinema	
151	EDST1108  	0%	0/32	288/320	Indigenous Perspectives	
152	MDIA3008  	0%	0/12	288/300	Crisis Communication	
153	PHYS1111  	0%	0/95	287/420	Fundamentals of Physics	
154	MATH1251  	0%	0/55	285/385	Maths - Actuarial & Finance 1B	
155	GENL1022  	0%	0/38	283/320	Women and Religion	
156	MMAN4010  	0%	0/110	280/420	Thesis A	
157	SRAP1000  	0%	0/21	280/400	Policy and Society	
158	SRAP1001  	0%	0/83	277/360	Social Research and Society	
159	MMAN2130  	0%	1/47	274/291	Design and Manufacturing	
160	LAWS2371  	0%	0/38	272/310	Resolving Civil Disputes	
161	CRIM3000  	0%	0/119	270/20173	Criminology in Practice	
162	ARTS1630  	0%	0/42	269/292	Introductory Japanese A	
163	ARTS3091  	0%	0/31	269/400	Advanced Media Issues	
164	MATH2099  	0%	0/23	269/292	Mathematics 2B	
165	ELEC4614  	0%	0/62	268/330	Power Electronics	
166	PHYS1231  	0%	0/39	263/302	Higher Physics 1B	
167	MECH9325  	0%	0/12	262/282	Fundamentals Acoustics & Noise	
168	COMP3141  	0%	0/104	261/365	Software Sys Des&Implementat'n	
169	ARTS1900  	0%	0/2	260/267	Gendered Worlds	
170	ARTS1060  	0%	0/64	259/335	Introduction to Film Studies	
171	COMP6714  	0%	0/7	258/266	Info Retrieval and Web Search	
172	ELEC4122  	0%	0/52	258/268	Strategic Leadership & Ethics	
173	MDIA1003  	0%	0/7	257/264	PR & Advertising Foundations	
174	EDST1104  	0%	0/31	256/290	Social Perspectives in Edu	
175	CHEM2041  	0%	0/33	255/300	Analytical Chem:Essential Meth	
176	COMP9517  	0%	0/4	255/260	Computer Vision	
177	CVEN4301  	0%	0/46	255/320	Advanced Concrete Structures	
178	FINS3648  	0%	0/33	254/287	Banking, Finance & Technology	
179	ARTS1092  	0%	0/12	252/9999	Working with Data	
180	ARTS2453  	0%	0/1	252/253	Chinese Cinema	
181	ELEC3104  	0%	0/41	252/293	Digital Signal Processing	
182	MGMT2102  	0%	0/9	250/259	Managing Across Cultures	
183	ECON3208  	0%	0/37	249/286	Applied Econometric Methods	
184	CVEN4102  	0%	0/4	246/253	Operations and Projects	
185	COMP9334  	0%	0/20	245/370	Systems Capacity Planning - CR1/CR2	
186	MGMT1002  	0%	0/31	244/275	Manag. Organisat. Behaviour	
187	MGMT3101  	0%	0/31	244/275	I'national Business Strategy	
188	COMP3900  	0%	0/97	243/340	Computer Science Project	
189	MATH2501  	0%	0/11	242/253	Linear Algebra	
190	BLDG3022  	0%	0/9	241/250	CPM Practice Capstone	
191	MGMT2002  	0%	1/9	241/250	Managing Business Communicatio	
192	MATH3411  	-1%	0/0	240/240	Information, Codes and Ciphers	
193	LAWS2270  	-1%	0/91	238/329	Law in the Global Context	
194	FINS2622  	0%	0/13	237/250	Asia-Pacific Capital Markets	
195	BABS2202  	0%	0/10	236/246	Molecular Cell Biology 1	
196	ELEC2133  	0%	0/104	236/347	Analogue Electronics	
197	BABS2204  	0%	0/22	234/260	Genetics	
198	MATH2018  	0%	0/288	234/234	Engineering Mathematics 2D	
199	ARTS1870  	0%	0/17	233/300	Rethinking the Social	
200	BABS1202  	0%	0/23	233/261	Applied Biomolecular Sciences	
Total	None None		25/183140	496445/886109		
