         5600 function calls (5447 primitive calls) in 21.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:242(__repr__)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       49    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:172(append)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codeop.py:1(<module>)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:719(__iter__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:164(islink)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:334(normpath)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:372(abspath)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/encodings/__init__.py:70(search_function)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
       73    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/_compat.py:85(with_metaclass)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/flask/cli.py:596(load_dotenv)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:423(_simple)
       38    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:752(decode)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:96(closegroup)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:71(join)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:833(__and__)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:63(_get_args_for_reloading)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/globals.py:39(resolve_color_default)
